All goals are:  ['get[wood]', 'make[stick]', 'get[iron]', 'make[axe]', 'get[gem]']
Environment: get[gem] | Task: Task(goal=(1, 12), steps=(2, 8, 4, 7, 11))
Currently working on goal -  get[wood]
ingredient_list -  []
Current actions -  {'DOWN': 0, 'UP': 1, 'LEFT': 2, 'RIGHT': 3, 'USE': 4}
Built new networks
/home/ksridhar/anaconda3/envs/DL_env/lib/python3.8/site-packages/torch/nn/modules/container.py:119: UserWarning: Implicit dimension choice for softmax has been deprecated. Change the call to include dim=X as an argument.
  input = module(input)
At episode -  3900 Exploration_number - 0.0 Average reward - 0.965
At episode -  3920 Exploration_number - 0.0 Average reward - 0.975
At episode -  3940 Exploration_number - 0.0 Average reward - 0.980
At episode -  3960 Exploration_number - 0.0 Average reward - 0.955
At episode -  3980 Exploration_number - 0.0 Average reward - 0.970
At episode -  4000 Exploration_number - 0.0 Average reward - 0.930
At episode -  4020 Exploration_number - 0.0 Average reward - 0.980
At episode -  4040 Exploration_number - 0.0 Average reward - 0.975
At episode -  4060 Exploration_number - 0.0 Average reward - 0.975
At episode -  4080 Exploration_number - 0.0 Average reward - 0.975
At episode -  4100 Exploration_number - 0.0 Average reward - 0.975
At episode -  4120 Exploration_number - 0.0 Average reward - 0.980
At episode -  4140 Exploration_number - 0.0 Average reward - 0.995
At episode -  4160 Exploration_number - 0.0 Average reward - 0.985
At episode -  4180 Exploration_number - 0.0 Average reward - 0.975
At episode -  4200 Exploration_number - 0.0 Average reward - 0.980
At episode -  4220 Exploration_number - 0.0 Average reward - 0.995
At episode -  4240 Exploration_number - 0.0 Average reward - 0.980
At episode -  4260 Exploration_number - 0.0 Average reward - 0.975
At episode -  4280 Exploration_number - 0.0 Average reward - 0.970
At episode -  4300 Exploration_number - 0.0 Average reward - 0.995
At episode -  4320 Exploration_number - 0.0 Average reward - 0.990
At episode -  4340 Exploration_number - 0.0 Average reward - 0.995
At episode -  4360 Exploration_number - 0.0 Average reward - 0.990
At episode -  4380 Exploration_number - 0.0 Average reward - 0.980
At episode -  4400 Exploration_number - 0.0 Average reward - 0.980
At episode -  4420 Exploration_number - 0.0 Average reward - 0.980
At episode -  4440 Exploration_number - 0.0 Average reward - 0.945
At episode -  4460 Exploration_number - 0.0 Average reward - 0.970
At episode -  4480 Exploration_number - 0.0 Average reward - 0.975
At episode -  4500 Exploration_number - 0.0 Average reward - 0.970
At episode -  4520 Exploration_number - 0.0 Average reward - 0.965
At episode -  4540 Exploration_number - 0.0 Average reward - 0.970
At episode -  4560 Exploration_number - 0.0 Average reward - 0.995
At episode -  4580 Exploration_number - 0.0 Average reward - 0.980
At episode -  4600 Exploration_number - 0.0 Average reward - 0.965
At episode -  4620 Exploration_number - 0.0 Average reward - 0.970
At episode -  4640 Exploration_number - 0.0 Average reward - 1.000
At episode -  4660 Exploration_number - 0.0 Average reward - 0.995
At episode -  4680 Exploration_number - 0.0 Average reward - 0.990
At episode -  4700 Exploration_number - 0.0 Average reward - 0.990
At episode -  4720 Exploration_number - 0.0 Average reward - 0.985
At episode -  4740 Exploration_number - 0.0 Average reward - 0.985
At episode -  4760 Exploration_number - 0.0 Average reward - 0.985
At episode -  4780 Exploration_number - 0.0 Average reward - 0.965
At episode -  4800 Exploration_number - 0.0 Average reward - 0.970
At episode -  4820 Exploration_number - 0.0 Average reward - 0.940
At episode -  4840 Exploration_number - 0.0 Average reward - 0.965
At episode -  4860 Exploration_number - 0.0 Average reward - 0.970
At episode -  4880 Exploration_number - 0.0 Average reward - 0.975
At episode -  4900 Exploration_number - 0.0 Average reward - 0.985
At episode -  4920 Exploration_number - 0.0 Average reward - 0.985
At episode -  4940 Exploration_number - 0.0 Average reward - 0.980
At episode -  4960 Exploration_number - 0.0 Average reward - 0.980
At episode -  4980 Exploration_number - 0.0 Average reward - 0.985
When returning from function avg reward  -  0.9849999964237213
Total episodes played till now -  5000
Environment: get[gem] | Task: Task(goal=(1, 12), steps=(2, 8, 4, 7, 11))
Currently working on goal -  make[stick]
ingredient_list -  [('wood', 'get[wood]')]
Current actions -  {'DOWN': 0, 'UP': 1, 'LEFT': 2, 'RIGHT': 3, 'USE': 4, 'give_wood': 5}
Built new networks
At episode -  20 Exploration_number - 0.9 Average reward - 0.170
At episode -  40 Exploration_number - 0.8 Average reward - 0.125
At episode -  60 Exploration_number - 0.7 Average reward - 0.090
At episode -  80 Exploration_number - 0.7 Average reward - 0.125
At episode -  100 Exploration_number - 0.6 Average reward - 0.245
At episode -  120 Exploration_number - 0.5 Average reward - 0.035
At episode -  140 Exploration_number - 0.5 Average reward - 0.200
At episode -  160 Exploration_number - 0.4 Average reward - 0.085
At episode -  180 Exploration_number - 0.4 Average reward - 0.085
At episode -  200 Exploration_number - 0.4 Average reward - 0.305
At episode -  220 Exploration_number - 0.3 Average reward - 0.055
At episode -  240 Exploration_number - 0.3 Average reward - 0.125
At episode -  260 Exploration_number - 0.3 Average reward - 0.230
At episode -  280 Exploration_number - 0.2 Average reward - 0.220
At episode -  300 Exploration_number - 0.2 Average reward - 0.340
At episode -  320 Exploration_number - 0.2 Average reward - 0.175
At episode -  340 Exploration_number - 0.2 Average reward - 0.215
At episode -  360 Exploration_number - 0.2 Average reward - 0.095
At episode -  380 Exploration_number - 0.1 Average reward - 0.170
At episode -  400 Exploration_number - 0.1 Average reward - 0.190
At episode -  420 Exploration_number - 0.1 Average reward - 0.135
At episode -  440 Exploration_number - 0.1 Average reward - 0.125
At episode -  460 Exploration_number - 0.1 Average reward - 0.190
At episode -  480 Exploration_number - 0.1 Average reward - 0.210
At episode -  500 Exploration_number - 0.1 Average reward - 0.185
At episode -  520 Exploration_number - 0.1 Average reward - 0.195
At episode -  540 Exploration_number - 0.1 Average reward - 0.310
At episode -  560 Exploration_number - 0.1 Average reward - 0.200
At episode -  580 Exploration_number - 0.1 Average reward - 0.275
At episode -  600 Exploration_number - 0.0 Average reward - 0.310
At episode -  620 Exploration_number - 0.0 Average reward - 0.135
At episode -  640 Exploration_number - 0.0 Average reward - 0.230
At episode -  660 Exploration_number - 0.0 Average reward - 0.120
At episode -  680 Exploration_number - 0.0 Average reward - 0.210
At episode -  700 Exploration_number - 0.0 Average reward - 0.360
At episode -  720 Exploration_number - 0.0 Average reward - 0.215
